4739.88,2315.16,NA,3,Atp6v0e2
4611.64,2093.08,NA,3,Atp6v0e2
4194.72,2737.76,NA,6,Atp6v0e2
4813.36,2351.24,NA,81,Atp6v0e2
4760.16,2066.64,NA,3,Pclo
4776.48,2310.16,NA,3,Srrm1
4826.16,2249.24,NA,3,Srrm1
4855.32,2591.2,NA,81,Srrm1
4166.8,2757.24,NA,6,Mapk8ip3
4711.32,2334.24,NA,3,Wbp11
4711.88,2278.32,NA,3,Mat2a
4644.24,2149.2,NA,3,Cdc40
4794.84,2228.16,NA,3,Scn3b
4665.32,2085.72,NA,3,Cadm3
4691.56,2322.84,NA,3,Cadm3
4863.4,2274.68,NA,3,Cadm3
4687.76,2274.4,NA,3,Cadm3
4720.16,2811.8,NA,6,Cadm3
4581.12,2056.08,NA,3,Mast3
4832.32,2199.08,NA,3,Rgs14
4806.04,2130.92,NA,3,Rgs14
4761.72,2069.28,NA,3,Aak1
4665.52,2311.56,NA,3,Aak1
4635.16,2149.16,NA,3,Icam5
4837.84,2232.64,NA,3,Icam5
4701.48,2072.48,NA,3,Ntrk3
4575.04,2085.12,NA,3,Ntrk3
4841.96,2449.12,NA,81,Ntrk3
4593.08,2262.52,NA,3,Otub1
4193.56,2704.2,NA,6,Otub1
4655.32,2801.32,NA,6,Otub1
4772.32,2331.52,NA,3,Eif5b
4646.88,2208.24,NA,3,Rangap1
4696,2253.32,NA,3,Rangap1
4664.4,2802.56,NA,6,Rangap1
4845.76,2371.92,NA,81,Rangap1
4655.76,2125.16,NA,3,Phactr1
4617.6,2209.84,NA,3,Ptprn2
4677.56,2296.52,NA,3,Adora1
4810.04,2363.44,NA,81,Reps2
4733.64,2315.24,NA,3,Lingo1
4656.28,2194.92,NA,3,Lingo1
4617.16,2146.12,NA,3,Lingo1
4793.76,2334.16,NA,3,Lingo1
4797.12,2208.88,NA,3,Lingo1
4631.32,2208.92,NA,3,Lingo1
4709.04,2389.76,NA,3,Lingo1
4836.4,2302.28,NA,3,Lingo1
4195.12,2725.72,NA,6,Lingo1
4803.48,2510.56,NA,81,Lingo1
4800.16,2363.2,NA,81,Lingo1
4794.76,2163.2,NA,3,Add2
4829.48,2107.96,NA,3,Add2
4820.52,2351.4,NA,81,Npepps
4810.48,2301.96,NA,3,Ddx3x
4613,2109.44,NA,3,Trim37
4603.88,2319.8,NA,3,Trim37
4189.04,2731.64,NA,6,Sipa1l1
4788.28,2207.12,NA,3,Napa
4629.68,2215.72,NA,3,Napa
4569,2080.12,NA,3,Napa
4787.32,2433.88,NA,81,Napa
4808.16,2361.72,NA,81,Napa
4669.6,2286.04,NA,3,Pfkl
4713.64,2312.8,NA,3,Pfkl
4840.56,2586.6,NA,81,Pfkl
4753.76,2330.36,NA,3,Dctn2
4581.88,2115.08,NA,3,Dctn2
4652.36,2183.44,NA,3,B4galt6
4691.56,2329.12,NA,3,B4galt6
4857.04,2486.52,NA,81,Dnajc5
4814.92,2515.76,NA,81,Dnajc5
4165.48,2734.88,NA,6,Amph
4855.12,2612.84,NA,81,Rb1cc1
4643.92,2143.84,NA,3,Kif5a
4847.2,2298.52,NA,3,Kif5a
4822.28,2216.64,NA,3,Kif5a
4611.56,2125.84,NA,3,Kif5a
4847.2,2298.52,NA,81,Kif5a
4843.92,2611.48,NA,81,Kif5a
4860.92,2587.2,NA,81,Kif5a
4700,2201.52,NA,3,Grin1
4827.52,2261.48,NA,3,Grin1
4690.88,2308.92,NA,3,Grin1
4574.44,2208,NA,3,Ankrd46
4672,2195.48,NA,3,Ankrd46
4709.72,2331.12,NA,3,Myo9a
4360.6,2746.44,NA,6,Omg
4839.52,2370.12,NA,81,Omg
4583.04,2202.08,NA,3,Ndufs1
4759.64,2333.32,NA,3,Prickle2
4705.96,2348.24,NA,3,Scamp5
4577.76,2235.24,NA,3,Scamp5
4760.24,2366.92,NA,3,Pten
4702.44,2325.84,NA,3,Pten
4656.52,2257.04,NA,3,Etnk1
4778.68,2276.36,NA,3,Rbfox2
4795.44,2236.88,NA,3,Rbfox2
4860,2610.84,NA,81,Rbfox2
4824.76,2252.4,NA,3,Cdip1
4852.96,2190.52,NA,3,Scamp1
4575.28,2256.84,NA,3,Scamp1
4669.84,2301.36,NA,3,Prrc2b
4834.72,2307.52,NA,3,Prrc2b
4606.48,2148.44,NA,3,Prrc2b
4823.8,2073.64,NA,3,Prrc2b
